LETO,KRAJ,PROIZVAJALEC,MODEL,OPOMBE,KOLICINA,TIP,LASTNIŠTVO,PODJETJE,VIRI
1980,Jesenice,IBM,IBM 3031,,1,e,lasten,Železarna Jesenice + Skupščina občine Jesenice + Iskra Telekomunikacije Kranj + Slovenske železarne,80/43
1980,Ljubljana,CDC,CDC Cyber 170,,1,e,lasten,Metalka Ljubljana,"80/40, 80/41"
1980,Maribor,IBM,IBM 4341,,1,e,lasten,EGM Elektrogospodarstvo Maribor,PKZ/01
1980,Ljubljana,FUJITSU,FUJITSU Facom M-180 II AD,,1,e,lasten,Zavod za statistiko Ljubljana,"79/27, 80/26"
1981,Ljubljana,DEC,DEC PDP 10/System 10,,1,e,lasten,RCU Računalniški center Univerze v Ljubljani,79/14
1981,Maribor,CDC,CDC Cyber 170/720,,1,e,lasten,Računalniški center Univerze v Mariboru,"79/14, 80/38"
1981,Radenci,IBM,IBM 4341,,1,e,lasten,Radenska Radenci,PKZ/01
1981,Logatec,DELTA,DELTA 800/80,,1,e,lasten,KLI Logatec,83/06
1981,Ptuj,DELTA,DELTA 4780,,1,e,lasten,Perutnina Ptuj,80/08
1982,Slovenj Gradec,DELTA,DELTA 4850,,1,e,lasten,Lesna Slovenj Gradec,"79/11, 82/10, 83/10"
1982,Novo Mesto,DELTA,DELTA 644/160,,1,e,lasten,Novoteks Novo Mesto,"81/10, 82/08"
1982,Metlika,DELTA,DELTA 644/160,,1,e,lasten,Beti Metlika,"80/08, 82/11"
1982,Murska Sobota,IBM,IBM 4341,,1,e,lasten,Mura Murska Sobota,PKZ/01
1982,Maribor,IBM,IBM 4341,,1,e,lasten,ECM Ekonomski center Maribor + TVT Borisa Kidriča Maribor + Hidromontaža + Mariborska livarna + Metalna + Surovina Maribor,"82/16, PKZ/01"
1983,Ljubljana,DELTA,DELTA 4850,,1,e,lasten,IJS Inštitut Jožef Stefan - Oddelek za računalništvo in informatiko,83/52
1983,Ljubljana,DELTA,DELTA 340/5,,1,e,lasten,UE Občina Moste-Polje,"83/08, 83/09"
1984,Maribor,DELTA,DELTA 340/5,,1,e,lasten,TAM Maribor,84/39
1984,Maribor,DELTA,DELTA 4780/500,,1,e,lasten,TAM Maribor,84/39
1984,Ravne,DELTA,DELTA 4850,,1,e,lasten,Železarna Ravne,84/127
1984,Maribor,DELTA,DELTA 4850,,1,e,lasten,RCU Računalniški center Univerze v Mariboru,84/128
1985,Šempeter,DELTA,DELTA 4850,,1,e,lasten,Bolnišnica Franca Derganca Šempeter,85/90
1985,Ljubljana,DELTA,DELTA 4850,,1,e,lasten,Ljubljanska banka,85/91
1985,Velenje,DELTA,DELTA 4850,,1,e,lasten,EKO + UE Velenje,85/92
1985,Metlika,DELTA,DELTA 4850,,1,e,lasten,Beti Metlika,"85/93, 85/98"
1985,Novo Mesto,DELTA,DELTA 4850,,1,e,lasten,IMV Novo mesto,85/94
1985,Ljubljana,DELTA,DELTA 4850,,1,e,lasten,Zavod za Družbeno planiranje Ljubljana,85/99
1965,Kragujevac,ISKRA,Iskra Z-23,,1,e,prodan,Vojnotehnični inštitut Kragujevac,65/02
1965,Vinča,ISKRA,Iskra Z-23,,1,e,prodan,Atomski center Vinča,65/02
1965,Zagreb,ISKRA,Iskra Z-23,,1,e,oddan,Računski center Zagreb,"65/02, 65/03, 65/04"
1965,Split,ISKRA,Iskra Z-23,,1,e,prodan,Elektrotehniška fakulteta Split,65/03
1965,Smederovo,ISKRA,Iskra Z-23,,1,e,zanimanje,Železarna Smederovo,65/03
