LETO,KRAJ,PROIZVAJALEC,MODEL,OPOMBE,KOLICINA,TIP,LASTNIŠTVO,PODJETJE,VIRI
1968,Ljubljana,IBM,IBM 360/20,,1,e,lasten,"Mehanografski center Streliška, Ljubljana + Rog Ljubljana + Dom Ljubljana + Lesnina + Slovenijales + Tops + Saturnus Ljubljana + Kartonažna tovarna + Zavod SRS za zdravstveno varstvo, Ljubljana","66/08, 66/09, 69/28, 69/29, 68/09, 71/08, RII/01"
1968,Ljubljana,IBM,IBM 360/20,,1,e,lasten,Litostroj Ljubljana,"66/08, 76/02, RII/01, 69/29, 71/08"
1968,Ljubljana,IBM,IBM 360/30,,1,e,lasten,Emona Ljubljana + Prehrana + Sadje Zelenjava Ljubljana,"67/06, 69/27, 69/29, 71/08"
1968,Velenje,IBM,IBM 360/25,,1,e,lasten,Gorenje Velenje,"67/06, 68/08, 71/08, 71/19, 72/13"
1968,Ljubljana,IBM,IBM 360/30,,1,e,lasten,Metalka Ljubljana,"69/29, 71/08"
1968,Jesenice,IBM,IBM 360/30,,1,e,lasten,Železarna Jesenice + Železarna Ravne + Železarna Štore + Veriga Lesce,"66/02, 66/07, 68/08, 71/08, 73/09, RII/01"
1968,Celje,IBM,IBM 360/20,,1,e,lasten,Zavod za napredek gospodarstva Celje +Toper + Polzela,"70/01, 68/08, 68/20, 71/08, 71/19, 72/13"
1968,Ljubljana,IBM,IBM 360/30,,1,e,lasten,KBH Kreditna banka in hranilnica Ljubljana + MNZ,"69/10, 71/08, MNZ/01"
1968,Ljubljana,IBM,IBM 360/25,,1,e,lasten,Slovenija Vino Ljubljana + MNZ,"71/08, MNZ/01"
1968,Piran,neznan,neznan,FACOM 230/15??,1,e,lasten,Splošna plovba Piran,"67/13, 68/19"
1969,Ljubljana,CDC,CDC 3300,,1,e,skupen,RRC Republiški računski center Ljubljana + Iskra Kranj + Izvršni svet SRS + Inštitut Jožef Stefan + Univerza v Ljubljani,"67/08, 68/02, 68/05, SRS/02, 69/17, 71/20, 71/22"
1969,Ljubljana,IBM,IBM 360/20,,1,e,lasten,Saturnus Ljubljana + KK Žalec,"76/02, 69/29, 71/08, 81/01"
1969,Ljubljana,IBM,IBM 360/30,,1,e,lasten,ŽTP Železniško transportno podjetje Ljubljana + RZS Regionalna zdravstvena skupnost Ljubljana,"69/29, 70/26, 71/08"
1969,Murska Sobota,IBM,IBM 360/20,,1,e,lasten,Mura Murska Sobota,"69/25, 70/13, 71/08, 72/23, PKZ/03, RII/01"
