navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,popisovalec,stanje,zgodovina,polica
,,,,,,,,,,,,,
vrste eksponatov:,,Komponenta,Nintendo,Napajalnik Wii,5,14,4,,ZDRT301,marko,"sive barve, US plug",zootfly,D1
Igralna konzola,,Komponenta,Nintendo,Napajalnik Gamecube,6,11,4,,02601 C3,marko,"črne barve, US plug",zootfly,D1
Mrežna oprema,,Komponenta,NEC,Napajalnik Turbografx-16,5,8,5,,1189,marko,"črne barve, US plug",zootfly,D1
Radio / Televizija,,Komponenta,Nintendo,Napajalnik Nintendo 64,7,11,4,,98528 SE,marko,"črne barve, US plug",zootfly,D1
Dlančnik/Kalkulator,,Komponenta,Sega,Napajalnik Genesis CD2,6,8,7,,J9L,marko,"črne barve, US plug",zootfly,D1
Ostalo,,Komponenta,Sega,Napajalnik Genesis ver.2,6,8,7,,M6KH,marko,"črne barve, US plug",zootfly,D1
Podatkovni pogon,,Komponenta,Nintendo,Napajalnik SNES v.2,5,8,7,,K0624SQ,marko,"črne barve, US plug",zootfly,D1
Tiskalnik,,Komponenta,Atari,Napajalnik Atari 7800,6,6,7,,,marko,"črne barve, US plug",zootfly,D1
Komponenta,,Komponenta,Nintendo,Napajalnik Virtual Boy,5,8,7,,N0823 QD,marko,"črne barve, US plug, v originalni embalaži vijolične barve",zootfly,D1
Terminal,,Komponenta,Nintendo,Napajalnik Game Boy Advance SP,5,6,2,,35D 9,marko,"črne barve, US plug",zootfly,D1
Nosilec podatkov,,Komponenta,Nintendo,Napajalnik DS,4,6,2,,XDPKR03,marko,"črne barve, US plug",zootfly,D1
Vnosna naprava,,Komponenta,Sony,PlayStation Memory Card,4,6,1,,,marko,sive barve,zootfly,D1
Monitor,,Komponenta,Sony,PlayStation Memory Card,4,6,1,,,marko,svetlo sive barve,zootfly,D1
Računalnik,,Komponenta,Performance,PlayStation Memory Card,4,6,1,,S2298,marko,sive barve,zootfly,D1
,,Komponenta,Performance,PlayStation Memory Card 2X,4,6,1,,W0799 33-0183945,marko,sive barve z gumbkom in LEDico,zootfly,D1
"miši, joysticki, napajalniki ipd., se vpisejo posebej, ne kot del računalnika / konzole",,Komponenta,Sony,Motion Controller,4,20,4,,970050400141,marko,"črne barve z belo kroglo, v originalni kartonski embalaži",zootfly,D1
,,Komponenta,Sony,Motion Controller,4,20,4,,970050400101,marko,"črne barve z belo kroglo, v originalni kartonski embalaži",zootfly,D1
"če za kak primerek nisi prepričan/a, kaj narest, ga raje pusti za kasneje",,,,,,,,,,,,,
,,,,,,,,,,,,,
"ja, dejansko rabiš meter, da zmeriš velikost",,,,,,,,,,,,,
,,,,,,,,,,,,,
"pod stanje vnesi vizualno prepoznavne znake - barve, oblike, nalepke, praske, poškodbe",,,,,,,,,,,,,
