navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,število delov,popisovalec,stanje,zgodovina
,,podatkovni pogon,commodore,commodore datassette ,20,16,5,,j04 707394,1991/03,mateja,Lep oohranjen. Malce umazan.,VH00057
,,vnosna naprava,,joystick,11,11,20,,,,mateja,"Na zgornji strani ima 2 rumena gumba, na ročki 1. Zgoraj tudi nalepka JOYSTICK.",VH00057
,,komponenta,commodore,at/xt PC stikalo,7,9,2,,,,mateja,Na zgornji strani nalepka AT/XT PC commodore SERVIS 061-621-066. Na spodnji strani nalepka s slabo vidnim napisom MODUL 16 GARANCIJA.,VH00057
,,računalnik,Sun,SparcStation 5 544,41,41,8,,504M1616,1994,mateja,Lep. Na spodnji strani nalepka proizvajalca. Ob obračanju se sliši neke premike iz nostranjosti.,
,,vnosna naprava,Star Micronics Co.,Star tiskalnik SP200,16,23,20,,702070600086,,mateja,"Umazan, drugače dobro ohranjen. Kabel za napajanje vtaknjen.",
,,nosilec podatkov,Graham Magnetics,Magnetni trak,24,24,3,,,,bostjan,"Lepo ohranjen, v ohišju. Vidna nalepka z napisom ULTIMAG, Certified Zero Defect at 1600 BPI and 6250 CPI. Graham magnetics. Vidna tudi nalepka s številko 1. Zadaj ostanki dvostranskega lepila - očitno bil na eni od Kiberpipinih razstav.",
,,prenosnik,arche,np-201,30,25,5,1992,altech 6350/92a,,bostjan,"spodaj nalepke servisa in trak-blazinice, nad tipkovnico ostanki stekle baterije",
,,prenosnik,first international computer,leo designote ,25,20,5,1995,comtron 493,,bostjan,"spodaj nalepka comtron, na pokrovu nalepka PII, pocen levi pant",
,,prenosnik,acro,anb-386/s20,25,20,5,1991,ac-4927-0010,,bostjan,"zelo skatlast temno siv, spodaj loputa za koprocesor, pod pokrovom napis gorenjePoint",
,,racunalnik,atari,1040st,,,,,1040-296,,bostjan,"porumenel po robovih, num pad polepljen",ff
,,racunalnik,atari,1040st,,,,,a174u4056117,,bostjan,zadaj nalepka ff 5986,ff
,,racunalnik,atari,1040st,,,,,,,bostjan,"zadaj nalepka ff 6345, spodaj nalepka nemske poste",ff
,,racunalnik,atari,1040st,,,,,a169c4002992,,bostjan,"zelo porumenel, num tipke imajo male dodatne nalepke",ff
,,racunalnik,atari,1040st,,,,,,,bostjan,zadaj nalepka ff 6080,ff
,,vnosna naprava,atari,miska,,,,,p1825026616,,bostjan,,ff
,,vnosna naprava,atari,miska,,,,,,,bostjan,namesto serijske pise 'slavistika,ff
,,tiskalnik,fujitsu,dl700,40,20,25,1995,vt061327,,bostjan,"nalepka liko pris, notri listek ""izum eprom""",ff
,,mrezna oprema,emulex,performance 4000,30,25,10,,eth 00-00-c9-00-ef-1f,,bostjan,"zadaj inv st 14-055 in 14-047, napis ""servis 2006"", spredaj inv nalepka IZJM maribor",ff
,,tiskalnik,nec,pinwriter p6 plus,35,35,15,1989,gambit,,bostjan,"spredaj nalepka ""nezno prosim nezno"", odlomljen nosilec za papir, prilepljen zraven",ff
,,tiskalnik,fujitsu,dl900,40,20,25,1992,vf 85894,,bostjan,"odprt in slabo zaprt, zadaj inv st 14-022",ff
,,telefon,iskra,,35,25,5,,138351,,bostjan,"v original skatli, rjav",idc
,,racunalnik,arne,,40,30,15,1992,0258/92,,bostjan,"spredaj nalepka z navodili za ""eva"", zadaj s flomastrom napisano slavistika",ff
,,racunalnik,apple,g3 blue,,,,1998,k4849584f8aa,,bostjan,manjka pokrov zadaj spodaj,k4 / soncek
,,monitor,ibm,5151,35,25,25,,,,bostjan,bp,
,,tiskalnik,fujitsu,dl4400,50,30,20,1998,d06b-2830-b115 001212,,bostjan,"a3 tiskalnik, ff inventarna 10283 zadaj",ff
,,televizor,orion,,50,30,30,,,,bostjan,genericen vecji tv,
,,televizor,ferguson tx,movie star,40,25,25,,,,bostjan,bel tv z okroglo anteno,
,,racunalnik,apple,g3 blue,,,,,pt0186ayj7c,,bostjan,ostanki traku po boku,
,,nosilec podatkov,3M,Magnetni trak,30,30,3,,,,mateja,"Lepo ohranjen. V plastičnem ohišju. Vidna nalepka SCOTCH 777, 3M, for use to 3200 F.C.I. Vidna tudi nalepka s številko 2 (bil na Kiberpipini razstavi?).  Zadaj nalepka 16089 2 07.",
,,nosilec podatkov,BASF,Magnetni trak,30,30,3,,,,mateja,"Vidna nalepka VMS 5-4-2 BAC/IMA X of 2. Na njem je tudi ena nalepka, ki pa je odtrgana. Prilepljena nalepka DAS/DER MUSEUM. Na zadnji strani nalepka n226ls344 (morda serijska?).",
,,nosilec podatkov,BASF,Magnetni trak,30,30,3,,,,mateja,"Vidna nalepka VMS S-4-2 BAC/IMA X of 2. Na njem je tudi ena nalepka, ki pa je odtrgana - nič se ne vidi besedila. a zadnji strani nalepka n225ls102 (morda serijska?).",
,,nosilec podatkov,,Magnetni trak,22,22,3,,,,mateja,Zgoraj nalepka UMD o13. Zadaj nalepka M25E HF 26 0 WAI in 16D-634CA22 B03.,
,,nosilec podatkov,Memorex,Magnetni trak,27,27,3,,,,mateja,"Zgoraj nalepka UMD o12 in na oranžnem obodu napis proizvajalca. Na strani, na kolutu tudi vidna nalepka 012. Zadaj nalepka s slabo vidnim napisom.",
,,nosilec podatkov,Memorex,Magnetni trak,27,27,3,,,,mateja,Zgoraj nalepka WL 0216 in srebrna nalepka proizvajalca. Ob strani tudi nalepka 0216. Zadaj nalepka IN25E HU 3902 WAI.,
,,nosilec podatkov,,Magnetni trak,22,22,3,,,,mateja,Zgoraj nalepka UMD o14. Zadaj nalepka M25E HF 26 0 WAI in 16D-634CA22 B03.,
,,nosilec podatkov,Memorex,Magnetni trak,22,22,3,,,,mateja,Zgoraj nalepka UMD o20 in na oranžnem obodu ime proizvajalca. Zadaj nalepka M25E HF 26 0 WAI in 16D-634CA22 B03.,
,,nosilec podatkov,IBM,Magnetni diski,37,37,8,,,,mateja,Z modrim ročajem. Nalepka MERK58. Tudi na obodu nalepka 111111 MERK 58.,
,,tiskalnik,fujitsu,dx2200,50,35,10,1987,ma 114804,,bostjan,zadaj inv st 6676,ff
,,tiskalnik,nec,pinwriter p5300,55,35,12,1989,604119222,,bostjan,"zadaj inv st 2433, odlomljen en nosilec za papir",ff
,,racunalnik,apple,power mac g4,15,40,40,,ck237jf3mm7,,bostjan,"zgoraj ostanki nalepk, spredaj ""burda doo"" in ""mac004""",
,,racunalnik,apple,power mac g4,15,40,40,,ck244h73nlr,,bostjan,"spredaj nalepka ""mac017"" in ""burda doo"" in morska zvezda",
,,racunalnik,apple,macintosh performa 5200,30,40,40,,825-3089-a,,bostjan,zadaj s crnim flomastrom 2073 in modra nalepka cp42208 ki odpada,
,,monitor,ibm,p92,40,40,40,1998,55-00931,,bostjan,velik crn monitor,
,,tiskalnik,epson,lq-400,40,30,10,,0eg7003406,,bostjan,"spredaj ostanki napisa ""epson 2""",ff
,,vnosna naprava,hewlett packard,tipkovnica,40,20,4,,mx03065781,,bostjan,ps/2,ff
,,vnosna naprava,hewlett packard,miska,4,8,3,1994,lt463n00934,,bostjan,"ps/2, tri gumbi, dolg kabel",ff
