navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,polica,popisovalec,stanje,zgodovina
,,Telefon,"Nokia Corporation, Finska",Lumia 930,7,14,1,,,D5,Mateja,"Glede na ikonco Oken spodaj na sprednji strani, ima predvidoma Microsoft OS gor. Na zadnji strani inventarna številka Ekipa2 d.o.o.: 100564. In nalepka z modelom telefona.",VH00067
,,Telefon,"HTC, Tajvan",Evo 4G,6,12,1,,,D5,Mateja,Na sprednji strani desno zgoraj v kotu napis Sprint. Na zadnji strani inventarna nalepka Ekipa2 d.o.o.: 100126. In večja nalepka 100 in ime modela.,VH00067
,,Telefon,"HTC, Tajvan",4G LTE,6,12,1,,,D5,Mateja,Na spredni strani zgoraj napis Verizon. Zadaj inventarna nalepka Ekipa2 d.o.o.: 100119. Na srebrnem delu napis: with Google.,VH00067
,,Telefon,"Sony Mobile Communications Inc., Japonska",XPERIA (črn),6,13,1,,,D5,Mateja,Z ostrimi robovi. Na zadnji strani inventarna nalepka Ekipa2 d.o.o.: 100014 in rumena 4.1.2.,VH00067
,,Telefon,"Nokia Corporation, Finska",Lumia 830?,7,14,1,,,D5,Mateja,"Glede na ikonco Oken spodaj na sprednji strani, ima predvidoma Microsoft OS gor. Na zadnji strani inventarna številka Ekipa2 d.o.o.: 100577 in zelena WP 8.1.",VH00067
,,Telefon,"Samsung, Japonska",Galaxy S,6,12,1,,,D5,Mateja,"Klasičen, z gumbom spodaj na zaslonu. Zadaj inventarna nalepka Ekipa2 d.o.o.: 100144. Ter večja 109 in ime modela. Pa še nalepka z: Android 2.3.6. do not upgrade!!!",VH00067
,,Telefon,"Samsung, Japonska",Galaxy Chat?,6,12,1,,,D5,Mateja,S tipkovnico spodaj. Bel. Zadaj inventarna nalepka Ekipa2 d.o.o.: 100289.,VH00067
,,Telefon,"LG Electronics Inc., Južna Koreja",L4,6,11,1,,,D5,Mateja,"Bel, z ostrimi robovi. Na zadnji strani inventarna nalepka Ekipa2 d.o.o.: 100379; LG L4 in rumena z 4.1.2.",VH00067
,,Telefon,"Nokia Corporation, Finska",Lumia800?,6,12,1,,,D5,Mateja,"Moder. Glede na ikonco Oken spodaj na sprednji strani, ima predvidoma Microsoft OS gor. Zadaj nalepka z WP8 NOT!",VH00067
,,Telefon,"Sony Mobile Communications Inc., Japonska",XPERIA (bel),6,11,1,,,D5,Mateja,Bel. Z ostrimi robovi. Na zadnji strani inventarna nalepka Ekipa2 d.o.o.: 100362; in rumeno 4.1.1. Spodaj pa 3:2 MDPI.,VH00067
