navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,polica,popisovalec,stanje,zgodovina
,,Kalkulator,,Kalkulator SR-80,8,15,3,1977,,C3,Mateja,"Kalkulator, shranjen v usnjenem etuiju. Nad ekrančkom napis ASARI SR-80 (?). V etuiju so tudi navodila za uporabo v angleškem jeziku. Na notranji strani navodil žig prodajalca in datum prodaje (?): 16 APR. 1977 Ditto VENCESLAO KLANISCEK, Via Duca d'Aosta 35 - Tel. 2258 GORIZIA. Na zadnji strani ime JANEZ PIBER.",
,,Kalkulator,"Digitron, Jugoslavija",DB 803,7,14,4,,,C3,Mateja,"Shranjen je v črni škatli, na pokrovu zgoraj napis digitron. Škatla z rdečim žametom na notranji strani. Na spodnji strani škatle napisana informacija o napajanju. V škatli se nahaja tudi napajalnik. Zraven tudi listek, na katerem piše: Slab kontakt v napajalniku. Sicer deluje. Marko Vrtovec.",
,,Kalkulator,"Sharp, Japonska",EL-512,7,13,1,,,C3,Mateja,"V črnem, plastičnem etuiju na preklop. ",
,,Dlančnik,"Palm, ZDA",Palm IIIe,9,12,2,,B0DF15D00114,C2,Mateja,"Lepo ohranjen, zraven tudi stilus. Ohišje narejeno iz prosojne plastike. Poleg je tudi napajalnik 3Com - mogoče ni originalen. ",
,,Nosilec podatkov,"Digital, ZDA",Magnetni trak,19,19,2,,,D6,Mateja,"Na njem nalepka MT 1 SYSprogr. + IGRE. Zraven je tudi računalniški neskončni papir, na katerem piše, kaj je zapisano na traku, imena datotek.",
,,Nosilec podatkov,"Digital, ZDA",Magnetni trak,19,19,2,,,D6,Mateja,"Na njem nalepka Programi IMRAMO MT2 1. 6. 1997. Zraven tudi računalniški papir, na katerem so napisane imena datotek, ki so gor.",
,,Kalkulator,"Hewlett - Packard, ZDA",HP 48SX,8,18,3,,,C3,Mateja,Zelo lepo ohranjen. Shranjen v etuiju z zadrgo in napisom Hewlett Packard. Notri tudi navodila za uporabo. Zraven pa še dve knjigi z navodili za uporabo. ,VH00072
,,Telefon,"Nokia Corporation, Finska",Nokia z Windows 10,7,13,2,,,D6,Mateja,Zadnji del rumene barve.,VH00072
,,Telefon,"HTC Corporation, Kitajska",Nexus One,6,12,1,,,D6,Mateja,Nexus One. Zadaj napis HTC in Google,VH00072
,,Ostalo ,"Franklin Electronics Publishers Inc., ZDA",REX-3 ,9,6,1,1987,,C2,Mateja,Lepo ohranjen. Še dela. ,VH00072
,,Prenosnik,"Toshiba, Japonska",Satellite 110CS,30,24,6,,10678177,D7,Nejc,"Lepo ohranjen, temno sive barve v ohišju shranjena še 3,5-inčna disketa. Na njen napis 5/5.",
,,Komponenta,"Hewlett - Packard, ZDA",Omrežni kontroler za tiskalnik (HP JETDIRECT EX J2382),14,12,3,,J2382-60003,D6,Nejc,Lepo ohranjen. Made in Singapore.,
,,Nosilec podatkov,"Seagate, ZDA",Trdi disk (model ST-225),15,20,4,,904002-002,D6,Nejc,Lepo ohranjen. na zgornji strani nalepka s številko modela.,
,,Vnosna naprava,"Monterey international. corp., Tajvan",tipkovnica (model K104),49,22,4,,6958,D7,Nejc,"Lepo ohranjena, a zelo umazana. Na tipki enter ostanki barvice. Zraven je tudi kabel za priklop na računalnik.",
,,Prenosnik,"IBM, ZDA",ThinkPad X40,27,21,5,,,D6,Nejc,"Lepo ohranjen, na spodnji strani nalepka z črtno kodo in številko 8808. Zraven tudi 2 polnilca od tega eden original IBM.",
,,Vnosna naprava,"Sony, Japonska",Kontroler (model SCPH-1010),15,9,4,,,D7,Nejc,Lepo ohranjen. Bil je v škatli v ostalim nintendo development kitom.,
,,Vnosna naprava,"Sony, Japonska",Kontroler (model SCPH-1010),15,9,4,,,D7,Nejc,Lepo ohranjen. Bil je v škatli v ostalim nintendo development kitom.,
,,Komponenta,"Micomsoft, Japonska",Konverter (XRGB-1),21,12,3,,11047,D7,Nejc,Lepo ohranjen. Poleg tudi napajalnik (model JOD-41-051). Zraven tudi kabel za priklop na monitor in navodila za uporabo v japonščini.,
,,Komponenta,"Psygnosis, Velika Britanija",Plošča z vezjem in čipi,14,19,2,1994,89633,D7,Nejc,Lepo ohranjena. Uporabljala se je kot del development kita za Playstation.,
,,Tiskalnik,"Fujitsu, Japonska",Tiskalnik model M3043 VDE,70,105,105,,14239,pritličje,Mateja,Lepo ohranjen. Še dela. Težek 200kg! Je na koleščkih in ga je lahko premikati horizontalno. ,VH00069
