vrsta,proizvajalec,program,verzija,leto,stanje,OS,medij,avtor,popisovalec
Računalniška igra,Lucas Arts,Star Wars Trilogy,,2004,,gba,ROM cart,,marko
Računalniška igra,Midway,Cruis'n Velocity,,,,gba,ROM cart,,marko
Računalniška igra,Nintendo,Zelda II: The Adventure of Link,,,,gba,ROM cart,,marko
Računalniška igra,Nintendo,The Legend of Zelda,,,,gba,ROM cart,,marko
Računalniška igra,Sega,Sega Arcade Gallery,,1995,,gba,ROM cart,,marko
Računalniška igra,Namco,Namco Museum,,,,gba,ROM cart,,marko
Računalniška igra,Acclaim,Turok: Evolution,,,,gba,ROM cart,,marko
Računalniška igra,Nintendo,Super Mario Advance 3,,,,gba,ROM cart,,marko
Računalniška igra,Konami,Teenage Mutant Ninja Turtles,,,,gba,ROM cart,,marko
Računalniška igra,THQ,Star Wars: Flight of the Falcon,,2003,,gba,ROM cart,,marko
Računalniška igra,Nintendo,Wario Land 4,,,,gba,ROM cart,,marko
Računalniška igra,TDK,Masters of the Universe,,2002,,gba,ROM cart,,marko
Računalniška igra,TDK,Corvette,,,,gba,ROM cart,,marko
Računalniška igra,Majesco Sales Inc.,Earthworm Jim,,,,gba,ROM cart,,marko
