vrsta	proizvajalec	program	verzija	leto	stanje	OS	medij	avtor
operacijski sistem	ibm	os2 warp server	4	1995	rabljeno	os2, dos, windows	cd	
programska oprema	symantec	visualcafe	version 3	1998	rabljeno	win 95	cd	
programska oprema	symantec	norton nt tools		1996	rabljeno	windows nt	cd	
programska oprema	novell	netware	5	1998	rabljeno		cd	
operacijski sistem	microsoft	windows nt server	3.51	1995	rabljeno		cd & 3" floppy	
programska oprema	autodesk	3d studio	2.01		rabljeno		cd & 3" floppy	
operacijski sistem	Sun	Solaris	9	2002	rabljeno		dvd	
programska oprema	adobe	creative suite	3, prodruction premium	2007	rabljeno		dvd	
igra	datamedia gmbh	skat		1984	rabljeno	commodore 64	kaseta	
izobraževalno	incognito software	make-a-chip		1983	rabljeno	zx	kaseta	
igra	supersoft	hall of death		1983	rabljeno	commodore 64	kaseta	
igra	radio študent	kontrabant 2		1985	rabljeno	zx	kaseta	žiga turk
igra	zotks	sestavljanka		1987	rabljeno	zx	kaseta	
igra	asp software	the fall of rome		1984	rabljeno	zx	kaseta	
igra	new generation software	jonah barrington's squash		1985	rabljeno	zx	kaseta	
igra	cheetahsoft	conquest		1984	rabljeno	zx	kaseta	
igra	lothlorien	johnny reb	warmaster	1983	rabljeno	zx	kaseta	
igra	dktronics	dictator		1982	rabljeno	zx	kaseta	
igra	lothlorien	special operations	adventuremaster	1983	rabljeno	zx	kaseta	
igra	psion	flight simulation		1982	rabljeno	zx	kaseta	
igra	ashby	lunar jetman		1983	rabljeno	zx	kaseta	
igra	moi software	reversi		1982	rabljeno	zx	kaseta	
igra	dktronics	jumbly		1983	rabljeno	zx	kaseta	
izobraževalno	brut film	maček muri šteje in računa			rabljeno	zx	kaseta	ljubo kostrevc
izobraževalno	zotka	ciciban šteje			rabljeno	zx	kaseta	davor bonačič
izobraževalno	zotks	cicibanova abeceda		1984	rabljeno	zx	kaseta	bonačič davor
izobraževalno	zotks	ciciban šteje		1985	rabljeno	zx	kaseta	bonačič davor
izobraževalno	zotks	ciciban računa		1985	rabljeno	zx	kaseta	bonačič davor
izobraževalno	zotks	snip - snovanje izobraževalnih programov		1987	rabljeno	zx	kaseta	dane rebolj, branko pečnik, ivan gerlič
izobraževalno	zotks	izbor osnovnošolcev		1987	rabljeno	zx	kaseta	
izobraževalno	university software	statistics		1984	rabljeno	zx	kaseta	
programska oprema	firebird	spiky harold			rabljeno	atari	kaseta	
programska oprema	tzs	prvi in drugi korak commodore c=64			rabljeno	commodore 64	kaseta	hinko muren
programska oprema	commodore	icicle works			rabljeno	commodore 64	kaseta	
programska oprema	cbs	jumpman		1983	rabljeno	commodore 64	kaseta	
programska oprema	ashby	pssst		1982	rabljeno	zx	kaseta	
programska oprema	psion	horizons - starter pack		1982	rabljeno	zx	kaseta	
programska oprema	database software	mini office		1984	rabljeno	zx	kaseta	
programska oprema	wordstar	wordstar	6	1990	brez ovitka	dos	manjka	
programska oprema	quarterdeck	expanded memory mamager	v7	1993	rabljeno	dos win	manjka	
