vrsta,proizvajalec,program,verzija,leto,stanje,OS,medij,avtor,popisovalec
Računalniška igra,LJN,Terminator 2,,1985,,nes,ROM cart,,marko
Računalniška igra,MiltonBradley,AbadoX,,1985,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Super Mario Bros. 3,,1985,,nes,ROM cart,,marko
Računalniška igra,Mindscape,Terminator,,1985,,nes,ROM cart,,marko
Računalniška igra,Broderbund,The Guardian Legend,,1985,,nes,ROM cart,,marko
Računalniška igra,Konami,Castlevania,,,,nes,ROM cart,,marko
Računalniška igra,Sammy,Michael Andretti's World GP,,1985,,nes,ROM cart,,marko
Računalniška igra,Culture Brain,Kung-fu Heroes,,1985,,nes,ROM cart,,marko
Računalniška igra,Bandai,Tag Team Match M.U.S.C.L.E.,,1985,,nes,ROM cart,,marko
Računalniška igra,LJN,Baseball,,1987,,nes,ROM cart,,marko
Računalniška igra,Sun Soft,Spy Hunter,,1985,,nes,ROM cart,,marko
Računalniška igra,Ultra Games,Snake's Revenge,,,,nes,ROM cart,,marko
Računalniška igra,Bandai,Dick Tracy,,1985,,nes,ROM cart,,marko
Računalniška igra,Konami,Jackal,,1985,,nes,ROM cart,,marko
Računalniška igra,Hudson Soft,Adventure Island,,1985,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Short Order + Egg-Splode!,,1985,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Hogan's Alley,,,,nes,ROM cart,,marko
Računalniška igra,Acclaim,The Simpsons Bart vs. The Space Mutants,,1985,,nes,ROM cart,,marko
Računalniška igra,Sun Soft,Batman,,1985,,nes,ROM cart,,marko
Računalniška igra,Enix,Dragon Warrior II,,1985,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Superspike V'ball,,1985,,nes,ROM cart,,marko
Računalniška igra,Hudson Soft,Bomberman,,,,nes,ROM cart,,marko
Računalniška igra,LJN,Wolverine,,1985,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Super Mario Bros. 2,,1985,,nes,ROM cart,,marko
Računalniška igra,Electro Brain,Stanley The Search for dr. Livingston,,1985,,nes,ROM cart,,marko
Računalniška igra,Color Dreams,Captain Comic,,,,nes,ROM cart,,marko
Računalniška igra,Color Dreams,Metal Fighter,,,,nes,ROM cart,,marko
Računalniška igra,Acclaim,Bigfoot,,1985,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Pinball,,1985,,nes,ROM cart,,marko
Računalniška igra,Hot B,The Blue Marlin,,1991,,nes,ROM cart,,marko
Računalniška igra,Hi Tech Expressions,Sesame Street: Astro-Grover + Ernie's Magic Shapes,,1985,,nes,ROM cart,,marko
Računalniška igra,Sammy,Amagon,,1985,,nes,ROM cart,,marko
Računalniška igra,Infocom,Tombs & Treasure,,1985,,nes,ROM cart,,marko
Računalniška igra,Taito,The Legend of Kage,,1985,,nes,ROM cart,,marko
Računalniška igra,LJN,Back to the Future,,1989,,nes,ROM cart,,marko
Računalniška igra,Konami,Monster in my Pocket,,1985,,nes,ROM cart,,marko
Računalniška igra,Irem Corp.,10-yard fight,,1983,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Final Fantasy,,1985,,nes,ROM cart,,marko
Računalniška igra,SNK,P.O.W. Prisoners of War,,1985,,nes,ROM cart,,marko
Računalniška igra,Mindscape Inc.,Infiltrator,,1989,,nes,ROM cart,,marko
