vrsta,proizvajalec,program,zgodovina,leto,stanje,OS,medij,polica,popisovalec
Računalniška igra,Atari,Human Cannonball,zootfly,1978,,Atari 2600,ROM cart,D1,marko
Računalniška igra,Sega,Shooting Gallery,zootfly,,,Sega Master System,ROM cart,D1,marko
Računalniška igra,Sega,Lemmings,zootfly,,,Game Gear,ROM cart,D1,marko
Računalniška igra,Atari,Math Gran Prix,zootfly,1982,,Atari 2600,ROM cart,D1,marko
Računalniška igra,Coleco,Cartridge #1,zootfly,,,Telstar Arcade,ROM cart,D1,marko
Računalniška igra,Mattel,Space Armada,zootfly,1979,,IntelliVision,ROM cart,D1,marko
Računalniška igra,Sega,NBA 2K,zootfly,1999,,Dreamcast,GD-ROM,D1,marko
Računalniška igra,Sega,Altered Beast,zootfly,,,Sega Master System,ROM cart,D1,marko
Računalniška igra,Sega,Shinobi,zootfly,,,Sega Master System,ROM cart,D1,marko
Računalniška igra,MiltonBradley,Block Buster,zootfly,,,Microvision,ROM cart,D1,marko
Računalniška igra,Nintendo,Dr. Mario,zootfly,,,gb,ROM cart,D1,marko
Računalniška igra,Nintendo,Super Mario Land,zootfly,,,gb,ROM cart,D1,marko
Računalniška igra,Nintendo,F-1 Race,zootfly,,,gb,ROM cart,D1,marko
Računalniška igra,Nintendo,Super Mario Land 2: 6 Golden Coins,zootfly,,,gb,ROM cart,D1,marko
Računalniška igra,Konami,Kid Dracula,zootfly,,,gb,ROM cart,D1,marko
Računalniška igra,Nintendo,Tetris,zootfly,,,gb,ROM cart,D1,marko
Računalniška igra,Nintendo,Game & Watch Gallery 2,zootfly,,,gb,ROM cart,D1,marko
Računalniška igra,FCI,Boxxle,zootfly,,,gb,ROM cart,D1,marko
Računalniška igra,Take 2,Rats!,zootfly,,,gb,ROM cart,D1,marko
Računalniška igra,Rareware,Conker's Pocket Tales,zootfly,,,gb,ROM cart,D1,marko
Računalniška igra,THQ,Croc,zootfly,,,gbc,ROM cart,D1,marko
Računalniška igra,Ubisoft,Rayman,zootfly,,,gbc,ROM cart,D1,marko
Računalniška igra,Nintendo,Pocket Bomber Man,zootfly,,,gb,ROM cart,D1,marko
Računalniška igra,Sun Soft,Blaster Master: Enemy Below,zootfly,,,gb,ROM cart,D1,marko
Računalniška igra,"Majesco Sales, Inc.",Black Bass Lure Fishing,zootfly,,,gb,ROM cart,D1,marko
Računalniška igra,Nintendo,The Legend of Zelda: Oracle of Ages,zootfly,,,gbc,ROM cart,D1,marko
Računalniška igra,NewKidCo,Sesame Street Sports,zootfly,,,gbc,ROM cart,D1,marko
Računalniška igra,Nintendo,Mario Tennis,zootfly,,,gbc,ROM cart,D1,marko
Računalniška igra,Natsume,Return of the Ninja,zootfly,,,gbc,ROM cart,D1,marko
Računalniška igra,Namco,Pac-Man,zootfly,,,gb,ROM cart,D1,marko
Računalniška igra,Nintendo,Golf,zootfly,,,gb,ROM cart,D1,marko
Računalniška igra,Nintendo,Kirby's Dream Land,zootfly,,,gb,ROM cart,D1,marko
Računalniška igra,Ultra Games,Teenage Mutant Ninja Turtles: Fall of the Foot Clan,zootfly,,,gb,ROM cart,D1,marko
