vrsta,proizvajalec,program,zgodovina,leto,stanje,OS,medij,polica,popisovalec
Računalniška igra,Sega,Sonic CD,zootfly,1993,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,Acclaim,NBA Jam,zootfly,1994,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,Deep Water,Eternal Champions,zootfly,1994,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,Virgin,The Terminator,zootfly,1993,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,"American Laser Games, Inc",Mad Dog II: The Lost Gold,zootfly,1994,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,Arena,Mortal Kombat,zootfly,1994,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,Sega,Ecco the Dolphin,zootfly,1993,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,"American Laser Games, Inc",Mad Dog McCree,zootfly,1993,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,Virgin,Trivial Pursuit,zootfly,1994,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,Arena,WWF Rage in the Cage,zootfly,1993,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,Sony,Ground Zero Texas,zootfly,1993,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,Konami,Lethal Enforcers II: Gun Fighters,zootfly,1994,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,ReadySoft,Dragon's Lair,zootfly,1993,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,Sony,Mary Shelley's Frankenstein + Bram Stoker's Dracula,zootfly,1994,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,Virgin,Heart of the Alien,zootfly,1994,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,Sega,Sherlock Holmes Consulting Detective Vol. II,zootfly,1993,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,JVC,Wonder Dog,zootfly,1992,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,JVC,Star Wars: Rebel Assault,zootfly,1993,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,Shiny,Earthworm Jim Special Edition,zootfly,1995,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,Sega,Joe Montana's NFL Football,zootfly,1993,,Sega CD,CD,"D1, skatla 7",marko
Računalniška igra,FCI,Advanced Dungeons & Dragons: Eye of the Beholder,zootfly,1994,,Sega CD,CD,"D1, skatla 7",marko
