vrsta,proizvajalec,program,zgodovina,leto,stanje,OS,medij,polica,popisovalec
Računalniška igra,LJN,Terminator 2,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,MiltonBradley,AbadoX,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Nintendo,Super Mario Bros. 3,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Mindscape,Terminator,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Broderbund,The Guardian Legend,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Konami,Castlevania,zootfly,,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Sammy,Michael Andretti's World GP,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Culture Brain,Kung-fu Heroes,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Bandai,Tag Team Match M.U.S.C.L.E.,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,LJN,Baseball,zootfly,1987,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Sun Soft,Spy Hunter,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Ultra Games,Snake's Revenge,zootfly,,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Bandai,Dick Tracy,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Konami,Jackal,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Hudson Soft,Adventure Island,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Nintendo,Short Order + Egg-Splode!,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Nintendo,Hogan's Alley,zootfly,,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Acclaim,The Simpsons Bart vs. The Space Mutants,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Sun Soft,Batman,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Enix,Dragon Warrior II,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Nintendo,Superspike V'ball,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Hudson Soft,Bomberman,zootfly,,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,LJN,Wolverine,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Nintendo,Super Mario Bros. 2,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Electro Brain,Stanley The Search for dr. Livingston,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Color Dreams,Captain Comic,zootfly,,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Color Dreams,Metal Fighter,zootfly,,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Acclaim,Bigfoot,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Nintendo,Pinball,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Hot B,The Blue Marlin,zootfly,1991,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Hi Tech Expressions,Sesame Street: Astro-Grover + Ernie's Magic Shapes,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Sammy,Amagon,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
Računalniška igra,Infocom,Tombs & Treasure,zootfly,1985,,nes,ROM cart,"D1, skatla 1",marko
