vrsta,proizvajalec,program,zgodovina,leto,stanje,OS,medij,polica,popisovalec
Računalniška igra,"Sears, Roebuck and Co.",Codebreaker + Nim,zootfly,,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Fox Video Games,Porky's,zootfly,1983,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Atari,Hangman,zootfly,,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Namco,Ms. Pac-Man,zootfly,1982,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Imagic,Star Voyager,zootfly,1982,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Imagic,Trick Shot,zootfly,1982,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Imagic,Cosmic Ark,zootfly,1982,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Imagic,Demon Attack,zootfly,1982,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Parker Brothers,Q*bert,zootfly,1983,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Activision,Boxing,zootfly,1980,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Activision,Fishing Derby,zootfly,1980,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Activision,Chopper Command,zootfly,1982,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Atari,Demons to Diamonds,zootfly,1982,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Fox Video Games,Fantastic Voyage,zootfly,1982,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Atari,Indy 500,zootfly,1978,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Froggo Games,Sea Hawk,zootfly,,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,"Sears, Roebuck and Co.",Hyperspace + Thrust Control,zootfly,1980,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Atari,E.T. The Extra-Terrestrial,zootfly,1982,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Atari,Yars' Revenge,zootfly,1981,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Atari,Outlaw,zootfly,,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Atari,Circus Atari,zootfly,1980,,Atari 2600,ROM cart,"D1, skatla 5",marko
Računalniška igra,Atari,3-D Tic-Tac-Toe,zootfly,1978,,Atari 2600,ROM cart,"D1, skatla 5",marko
