vrsta,proizvajalec,program,zgodovina,leto,stanje,OS,medij,polica,popisovalec
Računalniška igra,KOEI,Genghis Khan,zootfly,1989,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,HAL,Air Fortress,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,MiltonBradley,Jordan vs Bird One on One,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,JVC,Star Wars: The Empire Strikes Back,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Nintendo,Wild Gunman,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Kemco,Spy vs Spy,zootfly,,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Sun Soft,Platoon,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Sun Soft,Xenophobe,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Hi Tech Expressions,Jim Henson's Muppet Adventure,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Vic Tokai,The Mafat Conspiracy,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Konami,Blades of Steel,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Ultra Games,Metal Gear,zootfly,,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Acclaim,Airwolf,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,FCI,World Championship Wrestling,zootfly,1989,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,FCI,Zanac,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Data East,Bad Dudes,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Data East,Joe & Mac,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Culture Brain,Scheherazade,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,SNK,Alpha Mission,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Tecmo,Rygar,zootfly,,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Data East,Side Pocket,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,GameTek,Harlem Globetrotters,zootfly,1990,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Capcom,Commando,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,LJN,Who Framed Roger Rabbit,zootfly,1989,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Rare,R.C. Pro-AM,zootfly,1987,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,KOEI,Romance of The Three Kingdoms,zootfly,1989,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,NTVIC,Isolated Warrior,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Hudson Soft,Starship Hector,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Taito,The Flintstones: The Rescue of Dino & Hoppy,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Tradewest,Solar Jetman,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Nintendo,The Legend of Zelda,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Jaleco,Robo Warrior,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Jaleco,Totally Rad,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Absolute Entertainment,A Boy and his Blob,zootfly,1989,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,The Software Toolworks,Mario is Missing!,zootfly,1993,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Taito,Renegade,zootfly,,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,LJN,NFL,zootfly,1988,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Nintendo,Nintendo World Cup,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Seta,Adventures of Tom Sawyer,zootfly,1988,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Acclaim,The Simpsons: Bart vs. the World,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Konami,Castlevania III: Dracula's Curse,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Konami,Castlevania II: Simon's Quest,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,"T HQ, Inc.",Videomation,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Data East,Ring King,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,SNK,Mechanized Attack,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Nintendo,Pin Bot,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Nintendo,Punch-Out!!,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Taxan,Star Soldier,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Capcom,Mega Man,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Nintendo,Metroid,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Capcom,DuckTales,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Ultra Games,Silent Service,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,SNK,Ikari III: The Rescue,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Tradewest,Double Dragon,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Data East,BreakThru,zootfly,,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Taito,Arkanoid,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Nintendo,Donkey Kong Classics,zootfly,,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Acclaim,3-D WorldRunner,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Bandai,Xevious the Avenger,zootfly,1984,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Konami,The Adventures of Bayou Billy,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,"T HQ, Inc.",Where's Waldo?,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Virgin Games,Robin Hood: Prince of Thieves,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Hot-B,The Black Bass,zootfly,1989,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Activision,Thunderbirds,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Enix,Dragon Warrior,zootfly,1989,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Sun Soft,Blaster Master,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Vic Tokai,Terra Cresta,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Ocean,The Addams Family,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,NTVIC,Rock'n'Ball,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Romstar,Twin Eagle,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Sammy,Twin Cobra,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Acclaim,Wizards & Warriors,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Nintendo,Baseball,zootfly,,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Capcom,Yo! Noid,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Nintendo,Ice Hockey,zootfly,,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,LJN,Roger Clemens' MVP Baseball,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Data East,Rampage,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Acclaim,Wizards & Warriors III,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,"T HQ, Inc.",Swamp Thing,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Nintendo,Mega Man 6,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Konami,Contra Force,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Taxan,Mappy-Land,zootfly,1988,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,Vic Tokai,Bump'n'Jump,zootfly,1985,,nes,ROM cart,"D1, skatla 3",marko
Računalniška igra,MiltonBradley,Star Trek Phaser Strike,zootfly,1979,,microvision,Microvision Cart,"D1, skatla 3",marko
Računalniška igra,MiltonBradley,Pinball,zootfly,1979,,microvision,Microvision Cart,"D1, skatla 3",marko
Računalniška igra,MiltonBradley,Bowling,zootfly,1979,,microvision,Microvision Cart,"D1, skatla 3",marko
Računalniška igra,MiltonBradley,Cosmic Hunter,zootfly,1981,,microvision,Microvision Cart,"D1, skatla 3",marko
Računalniška igra,MiltonBradley,Connect Four,zootfly,1979,,microvision,Microvision Cart,"D1, skatla 3",marko
Računalniška igra,MiltonBradley,Baseball,zootfly,1980,,microvision,Microvision Cart,"D1, skatla 3",marko
Računalniška igra,Tengen,Steel Talons,zootfly,1992,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,U.S. Gold,Winter Olympic Games,zootfly,1992,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Sega,Cosmic Carnage,zootfly,,,genesis 32x,ROM cart,"D1, skatla 3",marko
Računalniška igra,Parker Brothers,Risk,zootfly,1994,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Namco,Pac-Man 2: The New Adventures,zootfly,1994,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Electronic Arts,F22 Interceptor,zootfly,1991,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Sega,Greatest Heavyweights,zootfly,,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Sega,Vectorman,zootfly,,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Sony,Mary Shelley's Frankenstein,zootfly,1994,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Midway,Championship Pro-AM,zootfly,,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Psygnosis,Wiz'n'Liz,zootfly,1993,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Sega,Streets of Rage,zootfly,,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Konami,Teenage Mutant Ninja Turtles - The Hyperstone Heist,zootfly,1992,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Sega,World of Illusion Starring Disney's Mickey Mouse & Donald Duck,zootfly,,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Sega,Sonic the Hedgehog,zootfly,,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Kaneko,Deadly Moves,zootfly,,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,U.S. Gold,The Incredible Hulk,zootfly,1994,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Arena,Alien 3,zootfly,1992,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Acclaim,Arch Rivals,zootfly,1992,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Capcom,Street Fighter II: Special Campion Edition,zootfly,,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Sega,Ecco the Dolphin,zootfly,,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Virgin,The Lion King,zootfly,1994,,genesis,ROM cart,"D1, skatla 3",marko
Računalniška igra,Sega,Fantasia,zootfly,,,genesis,ROM cart,"D1, skatla 3",marko
