vrsta,proizvajalec,program,zgodovina,leto,stanje,OS,medij,polica,popisovalec
Računalniška igra,South Peak Interactive,The Dukes of Hazzard,zootfly,1998,,gbc,ROM cart,"D1, skatla 2",marko
Računalniška igra,Nintendo,Super Mario Bros. Deluxe,zootfly,1998,,gbc,ROM cart,"D1, skatla 2",marko
Računalniška igra,Nintendo,The Legend of Zelda: Oracle of Seasons,zootfly,,,gbc,ROM cart,"D1, skatla 2",marko
Računalniška igra,Capcom,Star Wars,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Tecmo,Ninja Gaiden Shadow,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Mindscape Inc.,Paperboy,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Nintendo,Wario Blast,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,"T HQ, Inc.",Bo Jackson Two Games in One,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Nintendo,Wario Land: Super Mario Land 3,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Nintendo,Solar Striker,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Acclaim,Mortal Kombat II,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Namco,Dig Dug,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Nintendo,The Legend of Zelda: Link's Awakening,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Tecmo,Tecmo Bowl,zootfly,1991,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Atlus,Cosmo Tank,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Konami,The Castlevania Adventure,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Nintendo,Wave Race,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Acclaim,Krusty's Fun House,zootfly,1992,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Nintendo,Wario Land II,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Acclaim,Mortal Kombat,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Irem Software,R-Type DX,zootfly,1999,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Konami,Castlevania II,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Malibu Games,Total Carnage,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,,Super Star Wars: Return of the Jedi,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,LJN,T2 The Arcade Game,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Acclaim,Turok,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Konami,Castlevania Legends,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
Računalniška igra,Nintendo,Bomberman GB,zootfly,,,gb,ROM cart,"D1, skatla 2",marko
