vrsta,proizvajalec,program,zgodovina,leto,stanje,OS,medij,polica,popisovalec
Računalniška igra,Nintendo,Donkey Kong Jr.,zootfly,,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,Mindscape,M.U.L.E.,zootfly,1990,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,Nintendo,Gyromite,zootfly,,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,Nintendo,Dance Aerobics,zootfly,1985,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,Taito,Demon Sword,zootfly,1985,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,Bandai,Dynowarz,zootfly,1989,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,FCI,Magmax,zootfly,1985,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,Jaleco,City Connection,zootfly,1985,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,Vic Tokai,Clash at Demonhead,zootfly,1985,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,Data East,RoboCop,zootfly,1988,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,Taito,Bubble Bobble,zootfly,1985,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,Nintendo,Excitebike,zootfly,,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,Data East,Al Unser Jr. Turbo Racing,zootfly,1988,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,Capcom,Section Z,zootfly,1985,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,MiltonBradley,Captain SkyHawk,zootfly,1985,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,Vic Tokai,Conflict,zootfly,1985,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,Mindscape,The Last Starfighter,zootfly,1989,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,Activision,Stealth ATF,zootfly,1985,,nes,ROM cart,"D1, skatla 6",marko
Računalniška igra,Taito,Sky Shark,zootfly,1985,,nes,ROM cart,"D1, skatla 6",marko
