pdf	cover	pages	dir
ZIT-1968-01.pdf	ZIT-1968-01/00000000.jpg	82	ZIT
ZIT-1968-02.pdf	ZIT-1968-02/00000000.jpg	82	ZIT
ZIT-1968-03.pdf	ZIT-1968-03/00000000.jpg	82	ZIT
ZIT-1968-04.pdf	ZIT-1968-04/00000000.jpg	82	ZIT
ZIT-1968-05.pdf	ZIT-1968-05/00000000.jpg	82	ZIT
ZIT-1968-06.pdf	ZIT-1968-06/00000000.jpg	82	ZIT
ZIT-1968-07.pdf	ZIT-1968-07/00000000.jpg	162	ZIT
ZIT-1968-09.pdf	ZIT-1968-09/00000000.jpg	82	ZIT
ZIT-1968-10.pdf	ZIT-1968-10/00000000.jpg	82	ZIT
ZIT-1968-11.pdf	ZIT-1968-11/00000000.jpg	82	ZIT
ZIT-1968-12.pdf	ZIT-1968-12/00000000.jpg	80	ZIT
ZIT-1969-01.pdf	ZIT-1969-01/00000000.jpg	82	ZIT
ZIT-1969-02.pdf	ZIT-1969-02/00000000.jpg	82	ZIT
ZIT-1969-03.pdf	ZIT-1969-03/00000000.jpg	82	ZIT
ZIT-1969-04.pdf	ZIT-1969-04/00000000.jpg	82	ZIT
ZIT-1969-05.pdf	ZIT-1969-05/00000000.jpg	82	ZIT
ZIT-1969-06.pdf	ZIT-1969-06/00000000.jpg	82	ZIT
ZIT-1969-07.pdf	ZIT-1969-07/00000000.jpg	164	ZIT
ZIT-1969-09.pdf	ZIT-1969-09/00000000.jpg	82	ZIT
ZIT-1969-10.pdf	ZIT-1969-10/00000000.jpg	82	ZIT
ZIT-1969-11.pdf	ZIT-1969-11/00000000.jpg	130	ZIT
ZIT-1970-01.pdf	ZIT-1970-01/00000000.jpg	84	ZIT
ZIT-1970-02.pdf	ZIT-1970-02/00000000.jpg	84	ZIT
ZIT-1970-03.pdf	ZIT-1970-03/00000000.jpg	84	ZIT
ZIT-1970-04.pdf	ZIT-1970-04/00000000.jpg	84	ZIT
ZIT-1970-05.pdf	ZIT-1970-05/00000000.jpg	84	ZIT
ZIT-1970-06.pdf	ZIT-1970-06/00000000.jpg	84	ZIT
ZIT-1970-07.pdf	ZIT-1970-07/00000000.jpg	164	ZIT
ZIT-1970-09.pdf	ZIT-1970-09/00000000.jpg	84	ZIT
ZIT-1970-10.pdf	ZIT-1970-10/00000000.jpg	84	ZIT
ZIT-1970-11.pdf	ZIT-1970-11/00000000.jpg	164	ZIT
ZIT-1971-01.pdf	ZIT-1971-01/00000000.jpg	84	ZIT
ZIT-1971-02.pdf	ZIT-1971-02/00000000.jpg	84	ZIT
ZIT-1971-03.pdf	ZIT-1971-03/00000000.jpg	84	ZIT
ZIT-1971-04.pdf	ZIT-1971-04/00000000.jpg	84	ZIT
ZIT-1971-05.pdf	ZIT-1971-05/00000000.jpg	84	ZIT
ZIT-1971-07.pdf	ZIT-1971-07/00000000.jpg	148	ZIT
ZIT-1971-10.pdf	ZIT-1971-10/00000000.jpg	84	ZIT
ZIT-1972-01.pdf	ZIT-1972-01/00000000.jpg	84	ZIT
ZIT-1972-02.pdf	ZIT-1972-02/00000000.jpg	84	ZIT
ZIT-1972-05.pdf	ZIT-1972-05/00000000.jpg	84	ZIT
ZIT-1972-06.pdf	ZIT-1972-06/00000000.jpg	84	ZIT
ZIT-1972-07.pdf	ZIT-1972-07/00000000.jpg	148	ZIT
ZIT-1972-09.pdf	ZIT-1972-09/00000000.jpg	88	ZIT
ZIT-1972-10.pdf	ZIT-1972-10/00000000.jpg	84	ZIT
ZIT-1972-11.pdf	ZIT-1972-11/00000000.jpg	84	ZIT
ZIT-1972-12.pdf	ZIT-1972-12/00000000.jpg	84	ZIT
ZIT-1973-01.pdf	ZIT-1973-01/00000000.jpg	86	ZIT
ZIT-1973-03.pdf	ZIT-1973-03/00000000.jpg	84	ZIT
