revija,stevilka,leto,mesec,verzija,opombe
SOFTware power,,2000,7,,
SOFTware power,,2000,6,,
SOFTware power,,2000,4,,
SOFTware power,,2000,3,,
SOFTware power,,2000,2,,
SOFTware power,,2000,1,,
SOFTware power,,2001,1,,
SOFTware power,,2001,2,,
SOFTware power,,2001,3,,
SOFTware power,,2001,4,,
SOFTware power,,2001,5,,
SOFTware power,,2001,6,,
SOFTware power,,2001,7,,
SOFTware power,,2001,8,,
SOFTware power,,2001,9,,
SOFTware power,,2001,11,,
SOFTware power,,2001,12,,
SOFTware power,,2002,1,,
WIN.INI,,1995,10,,
WIN.INI,,1995,3,,
WIN.INI,,1995,4,,
WIN.INI,,1995,5,,
WIN.INI,,1995,6,,
WIN.INI,,1996,3,,
WIN.INI,,1997,1,,
WIN.INI,,1997,4,,
