pdf	cover	pages	dir
informatica-Vol_23,_No_1_1999.pdf	informatica-Vol_23,_No_1_1999/00000000.jpg	147	informatica
informatica-Vol_23,_No_2_1999.pdf	informatica-Vol_23,_No_2_1999/00000000.jpg	147	informatica
informatica-Vol_23,_No_3_1999.pdf	informatica-Vol_23,_No_3_1999/00000000.jpg	143	informatica
informatica-Vol_23,_No_4_1999.pdf	informatica-Vol_23,_No_4_1999/00000000.jpg	133	informatica
informatica-Vol_24,_No_1_2000.pdf	informatica-Vol_24,_No_1_2000/00000000.jpg	138	informatica
informatica-Vol_24,_No_2_2000.pdf	informatica-Vol_24,_No_2_2000/00000000.jpg	137	informatica
informatica-Vol_24,_No_3_2000.pdf	informatica-Vol_24,_No_3_2000/00000000.jpg	142	informatica
informatica-Vol_25,_No_1_2001.pdf	informatica-Vol_25,_No_1_2001/00000000.jpg	144	informatica
informatica-Vol_25,_No_2_2001.pdf	informatica-Vol_25,_No_2_2001/00000000.jpg	146	informatica
informatica-Vol_25,_No_3_2001.pdf	informatica-Vol_25,_No_3_2001/00000000.jpg	143	informatica
informatica-Vol_25,_No_4_2001.pdf	informatica-Vol_25,_No_4_2001/00000000.jpg	159	informatica
informatica-Vol_26,_No_1_2002.pdf	informatica-Vol_26,_No_1_2002/00000000.jpg	102	informatica
informatica-Vol_26,_No_2_2002.pdf	informatica-Vol_26,_No_2_2002/00000000.jpg	141	informatica
informatica-Vol_26,_No_3_2002.pdf	informatica-Vol_26,_No_3_2002/00000000.jpg	106	informatica
informatica-Vol_26,_No_4_2002.pdf	informatica-Vol_26,_No_4_2002/00000000.jpg	104	informatica
informatica-Vol_27,_No_1_2003.pdf	informatica-Vol_27,_No_1_2003/00000000.jpg	115	informatica
informatica-Vol_27,_No_2_2003.pdf	informatica-Vol_27,_No_2_2003/00000000.jpg	120	informatica
informatica-Vol_27,_No_3_2003.pdf	informatica-Vol_27,_No_3_2003/00000000.jpg	133	informatica
informatica-Vol_27,_No_4_2003.pdf	informatica-Vol_27,_No_4_2003/00000000.jpg	129	informatica
informatica-Vol_28,_No_1_2004.pdf	informatica-Vol_28,_No_1_2004/00000000.jpg	122	informatica
informatica-Vol_28,_No_2_2004.pdf	informatica-Vol_28,_No_2_2004/00000000.jpg	114	informatica
informatica-Vol_28,_No_3_2004.pdf	informatica-Vol_28,_No_3_2004/00000000.jpg	116	informatica
informatica-Vol_28,_No_4_2004.pdf	informatica-Vol_28,_No_4_2004/00000000.jpg	116	informatica
informatica-Vol_29,_No_1_2005.pdf	informatica-Vol_29,_No_1_2005/00000000.jpg	128	informatica
informatica-Vol_29,_No_2_2005.pdf	informatica-Vol_29,_No_2_2005/00000000.jpg	134	informatica
informatica-Vol_29,_No_3_2005.pdf	informatica-Vol_29,_No_3_2005/00000000.jpg	132	informatica
informatica-Vol_29,_No_4_2005.pdf	informatica-Vol_29,_No_4_2005/00000000.jpg	136	informatica
informatica-Vol_3,_No_1_1979.pdf	informatica-Vol_3,_No_1_1979/00000000.jpg	107	informatica
informatica-Vol_3,_No_2_1979.pdf	informatica-Vol_3,_No_2_1979/00000000.jpg	88	informatica
informatica-Vol_3,_No_3_1979.pdf	informatica-Vol_3,_No_3_1979/00000000.jpg	88	informatica
informatica-Vol_3,_No_4_1979.pdf	informatica-Vol_3,_No_4_1979/00000000.jpg	82	informatica
informatica-Vol_30,_No_1_2006.pdf	informatica-Vol_30,_No_1_2006/00000000.jpg	146	informatica
informatica-Vol_30,_No_2_2006.pdf	informatica-Vol_30,_No_2_2006/00000000.jpg	145	informatica
informatica-Vol_30,_No_3_2006.pdf	informatica-Vol_30,_No_3_2006/00000000.jpg	114	informatica
informatica-Vol_30,_No_4_2006.pdf	informatica-Vol_30,_No_4_2006/00000000.jpg	114	informatica
informatica-Vol_31,_No_1_2007.pdf	informatica-Vol_31,_No_1_2007/00000000.jpg	144	informatica
informatica-Vol_31,_No_2_2007.pdf	informatica-Vol_31,_No_2_2007/00000000.jpg	116	informatica
informatica-Vol_31,_No_3_2007.pdf	informatica-Vol_31,_No_3_2007/00000000.jpg	112	informatica
informatica-Vol_31,_No_4_2007.pdf	informatica-Vol_31,_No_4_2007/00000000.jpg	142	informatica
informatica-Vol_32,_No_1_2008.pdf	informatica-Vol_32,_No_1_2008/00000000.jpg	106	informatica
informatica-Vol_32,_No_2_2008.pdf	informatica-Vol_32,_No_2_2008/00000000.jpg	134	informatica
informatica-Vol_32,_No_3_2008.pdf	informatica-Vol_32,_No_3_2008/00000000.jpg	116	informatica
informatica-Vol_32,_No_4_2008.pdf	informatica-Vol_32,_No_4_2008/00000000.jpg	136	informatica
informatica-Vol_33,_No_1_2009.pdf	informatica-Vol_33,_No_1_2009/00000000.jpg	122	informatica
informatica-Vol_33,_No_2_2009.pdf	informatica-Vol_33,_No_2_2009/00000000.jpg	132	informatica
informatica-Vol_33,_No_3_2009.pdf	informatica-Vol_33,_No_3_2009/00000000.jpg	166	informatica
informatica-Vol_33,_No_4_2009.pdf	informatica-Vol_33,_No_4_2009/00000000.jpg	128	informatica
informatica-Vol_34,_No_1_2010.pdf	informatica-Vol_34,_No_1_2010/00000000.jpg	132	informatica
informatica-Vol_34,_No_2_2010.pdf	informatica-Vol_34,_No_2_2010/00000000.jpg	146	informatica
informatica-Vol_34,_No_3_2010.pdf	informatica-Vol_34,_No_3_2010/00000000.jpg	146	informatica
informatica-Vol_34,_No_4_2010.pdf	informatica-Vol_34,_No_4_2010/00000000.jpg	145	informatica
informatica-Vol_35,_No_1_2011.pdf	informatica-Vol_35,_No_1_2011/00000000.jpg	146	informatica
informatica-Vol_35,_No_2_2011.pdf	informatica-Vol_35,_No_2_2011/00000000.jpg	154	informatica
informatica-Vol_35,_No_3_2011.pdf	informatica-Vol_35,_No_3_2011/00000000.jpg	116	informatica
informatica-Vol_35,_No_4_2011.pdf	informatica-Vol_35,_No_4_2011/00000000.jpg	142	informatica
informatica-Vol_36,_No_1_2012.pdf	informatica-Vol_36,_No_1_2012/00000000.jpg	124	informatica
informatica-Vol_36,_No_2_2012.pdf	informatica-Vol_36,_No_2_2012/00000000.jpg	114	informatica
informatica-Vol_36,_No_3_2012.pdf	informatica-Vol_36,_No_3_2012/00000000.jpg	118	informatica
informatica-Vol_36,_No_4_2012.pdf	informatica-Vol_36,_No_4_2012/00000000.jpg	122	informatica
informatica-Vol_37,_No_1_2013.pdf	informatica-Vol_37,_No_1_2013/00000000.jpg	118	informatica
informatica-Vol_37,_No_2_2013.pdf	informatica-Vol_37,_No_2_2013/00000000.jpg	114	informatica
informatica-Vol_37,_No_3_2013.pdf	informatica-Vol_37,_No_3_2013/00000000.jpg	144	informatica
informatica-Vol_37,_No_4_2013.pdf	informatica-Vol_37,_No_4_2013/00000000.jpg	106	informatica
informatica-Vol_38,_No_1_2014.pdf	informatica-Vol_38,_No_1_2014/00000000.jpg	100	informatica
informatica-Vol_38,_No_3_2014.pdf	informatica-Vol_38,_No_3_2014/00000000.jpg	102	informatica
informatica-Vol_38,_No_4_2014.pdf	informatica-Vol_38,_No_4_2014/00000000.jpg	88	informatica
informatica-Vol_39,_No_1_2015.pdf	informatica-Vol_39,_No_1_2015/00000000.jpg	108	informatica
informatica-Vol_39,_No_2_2015.pdf	informatica-Vol_39,_No_2_2015/00000000.jpg	122	informatica
informatica-Vol_39,_No_3_2015.pdf	informatica-Vol_39,_No_3_2015/00000000.jpg	124	informatica
informatica-Vol_39,_No_4_2015.pdf	informatica-Vol_39,_No_4_2015/00000000.jpg	136	informatica
informatica-Vol_4,_No_1_1980.pdf	informatica-Vol_4,_No_1_1980/00000000.jpg	96	informatica
informatica-Vol_4,_No_2_1980.pdf	informatica-Vol_4,_No_2_1980/00000000.jpg	79	informatica
informatica-Vol_4,_No_3_1980.pdf	informatica-Vol_4,_No_3_1980/00000000.jpg	103	informatica
informatica-Vol_4,_No_4_1980.pdf	informatica-Vol_4,_No_4_1980/00000000.jpg	83	informatica
informatica-Vol_40,_No_1_2016.pdf	informatica-Vol_40,_No_1_2016/00000000.jpg	162	informatica
informatica-Vol_40,_No_2_2016.pdf	informatica-Vol_40,_No_2_2016/00000000.jpg	126	informatica
informatica-Vol_40,_No_3_2016.pdf	informatica-Vol_40,_No_3_2016/00000000.jpg	104	informatica
informatica-Vol_40,_No_4_2016.pdf	informatica-Vol_40,_No_4_2016/00000000.jpg	98	informatica
informatica-Vol_41,_No_1_2017.pdf	informatica-Vol_41,_No_1_2017/00000000.jpg	136	informatica
informatica-Vol_41,_No_2_2017.pdf	informatica-Vol_41,_No_2_2017/00000000.jpg	134	informatica
informatica-Vol_41,_No_3_2017.pdf	informatica-Vol_41,_No_3_2017/00000000.jpg	130	informatica
informatica-Vol_41,_No_4_2017.pdf	informatica-Vol_41,_No_4_2017/00000000.jpg	148	informatica
informatica-Vol_42,_No_1_2018.pdf	informatica-Vol_42,_No_1_2018/00000000.jpg	150	informatica
informatica-Vol_42,_No_2_2018.pdf	informatica-Vol_42,_No_2_2018/00000000.jpg	146	informatica
informatica-Vol_42,_No_3_2018.pdf	informatica-Vol_42,_No_3_2018/00000000.jpg	206	informatica
