eksponat,leto,1,2,3,4,5,6,7,8,9,10,11,12
Joker PDF,2007,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2008,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2009,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2010,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2011,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2012,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2013,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2014,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2015,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2016,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2017,x,x,x,x,x,x,x,x,x,x,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Monitor pro PDF,2010,,,,,,,,,x,x,,
Monitor pro PDF,2011,x,,,x,,,x,,,x,,
Monitor pro PDF,2012,x,,,x,,,x,,,x,,
Monitor pro PDF,2013,x,,,x,,,x,,,x,,
Monitor pro PDF,2014,x,,x,,x,,x,,x,,x,
Monitor pro PDF,2015,x,,x,,x,,x,,,,x,
Monitor pro PDF,2016,x,,x,,x,,,,,,,
,,,,,,,,,,,,,
Monitor PDF,2001,x,x,x,x,x,x,x,,x,x,x,x
Monitor PDF,2002,x,x,x,x,x,x,x,,x,x,x,x
Monitor PDF,2003,x,x,x,x,x,x,x,,x,x,x,x
Monitor PDF,2004,x,x,x,x,x,x,x,,x,x,x,x
Monitor PDF,2005,x,x,x,x,x,x,x,,x,x,x,x
Monitor PDF,2006,x,x,x,x,x,x,x,,x,x,x,x
Monitor PDF,2007,x,x,x,x,x,x,x,,x,x,x,x
Monitor PDF,2008,x,x,x,x,x,x,x,,x,x,x,x
Monitor PDF,2009,x,x,x,x,x,x,x,,x,x,x,x
Monitor PDF,2010,x,x,x,x,x,x,x,,x,x,x,x
,,,,,,,,,,,,,
Računalniške novice,1996,,,,x,,,x,,,,,
Računalniške novice,1998,,,,,,,,,,x,x,
Računalniške novice,1999,xx,xx,xx,xxx,xx,xxx,xx,x,xx,x,x,x
Računalniške novice,2000,x,,xx,x,x,xx,x,x,x,xxxx,,
Računalniške novice,2001,x,,x,x,xxx,xx,x,x,x,xx,xx,
Računalniške novice,2002,xx,xx,xx,,,x,x,x,x,xx,x,x
Računalniške novice,2003,x,,,,,,,,,,,
,,,,,,,,,,,,,
TeleMonitor,1999,,,,,x,x,x,x,,,,
TeleMonitor,2000,,x,x,,,x,,,,,,
,,,,,,,,,,,,,
KLIK,2000,,,,,,,,,,x,,
KLIK,2001,,,,,,x,,,,x,,
,,,,,,,,,,,,,
Telekomunikacije,1999,,x,,,,,,,,x,,
Telekomunikacije,2000,,,,x,,x,,,,,,
Telekomunikacije,2001,,,,,x,,x,x,x,,x,
Telekomunikacije,2002,,,x,,,,x,x,x,,x,
,,,,,,,,,,,,,
Spletka,2000,x,,x,x,,,,,,,,x
Spletka,2001,,,,,x,x,x,x,x,x,,
Spletka,2002,,,,,x,x,x,x,x,x,x,
,,,,,,,,,,,,,
Info - četrtletnik podjetja Microsoft,,,,,,,,,,,,,
Info,1997,,,,,,,,,,,x,
Info,1998,,,,,,,x,,,x,,
Info,2000,,,,,x,,,,,x,,
Info,2001,,,,,x,,,,,,,
,,,,,,,,,,,,,
Internet,1997,,,,,,,,,x,x,x,x
Internet,1998,x,x,x,x,x,x,x,x,x,x,,x
Internet,1999,x,x,x,x,x,x,x,x,x,x,,
Internet,2000,x,x,x,x,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ESC,2003,x,,,,,,,,,,,
,,,,,,,,,,,,,
Mobinet,2003,x,,,,,,,,,,,
,,,,,,,,,,,,,
PCformat,2002,,,,,x,,,,,,,
,,,,,,,,,,,,,
BUG - hrvaška,1999,,x,,,,,,,,,,
,,,,,,,,,,,,,
Svet elektronike,2002,,,,,,,,,,x,,
,,,,,,,,,,,,,
Sistem - priloga revije Monitor,,,,,,,,,,,,,
Sistem,1997,,,,,,,,,,x,x,
Sistem,1998,,,,,,,,,,x,x,
Sistem,1999,,,,,,x,x,x,,,,
Sistem,2000,,,,,,,,,,x,,
Sistem,2002,,,,,x,,,,,,x,
