GENERACIJA,ZAPOREDNI,KOLICINA,LETO,PROIZVAJALEC,MODEL,OPOMBE,TIP,UPORABA,LASTNISTVO,NOSILEC,KRAJ,PARTNER,DOSTOP,VIRI
C,,1,1968,CDC,CDC 2100 ,"(3100 z omejitvijo, začasen)",E,o,S,Iskra CAOP - Center za avtomatsko obdelavo podatkov,Ljubljana,"Izvršni svet SRS, IJS - Inštitut Jožef Stefan, Univerza v Ljubljani","Delo, IMP - Industrijsko montažno podjetje","67/03, 67/04, 67/16, 67/17, 68/01, 68/02, 68/02a, 69/17"
D,,1,1968,IBM,IBM 360/30,,E,o,L,DES - Distribucija energije Slovenija,Ljubljana,,"IJS - Inštitut Jožef Stefan, Kemijski inštitut, Univerza v Ljubljani, RSNZ - Republiški sekretariat za notranje zadeve","66/08, 67/08, 68/07, 68/11, 69/29, 71/08"
D,,1,1968,IBM,IBM 360/20,lokacija Streliška,e,P,S,Mehanografski center,Ljubljana,"Rog, Dom, Lesnina, Slovenijales, Tops, Saturnus, Kartonažna tovarna, ZZV Ljubljana - Zavod za zdravstveno varstvo",,"66/08, 66/09, 69/28, 69/29, 68/09, 71/08, RII/01"
D,2,1,1968,IBM,IBM 360/20,,e,o,L,Litostroj,Ljubljana,,,"66/08. 76/02. RII/01, 69/29, 71/08"
D,,1,1968,IBM,IBM 360/30,,e,o,L,Emona,Ljubljana,,"Prehrana, Sadje Zelenjava","67/06, 69/27, 69/29, 71/08"
D,,1,1968,IBM,IBM 360/25,,e,o,L,Gorenje,Velenje,,,"67/06, 68/08, 71/08, 71/19, 72/13"
D,,1,1968,IBM,IBM 360/30,,e,o,L,Metalka,Ljubljana,,,"69/29, 71/08"
D,2,1,1968,IBM,IBM 360/30,,e,o,L,Železarna Jesenice,Jesenice,,"Železarna Ravne, Železarna Štore, Veriga","66/02, 66/07, 68/08, 71/08, 73/09, RII/01"
D,,1,1968,IBM,IBM 360/20,,e,P,L,Zavod za napredek gospodarstva Celje,Celje,,"Toper, Polzela","70/01, 68/08, 68/20, 71/08, 71/19, 72/13"
D,,1,1968,IBM,IBM 360/30,,e,o,L,KBH Ljubljana - Kreditna banka in hranilnica,Ljubljana,,RSNZ - Republiški sekretariat za notranje zadeve,"69/10, 71/08, MNZ/01"
D,,1,1968,IBM,IBM 360/25,,e,o,L,Slovenija vino,Ljubljana,,RSNZ - Republiški sekretariat za notranje zadeve,"71/08, MNZ/01"
C,,1,1968,NCR,neznan ,(NCR 390?),e,o,L,Splošna plovba,Piran,,,"67/13*, 68/19"
C,,1,1969,CDC,CDC 3300,"v Iskra CAOP, uporabljajo tudi nekateri državni organi, nekatere šole",E,R,S,RRC Stegne - Republiški računski center,Ljubljana,"Iskra, Izvršni svet SRS, IJS - Inštitut Jožef Stefan, Univerza v Ljubljani","Zavod za statistiko SRS, Skupščina občine Ljubljana, Skupščina občine Maribor","67/08, 68/02, 68/05, 69/17, 69/43, 71/20, 71/22, SRS/02"
D,,1,1969,IBM,IBM 360/20,,e,o,L,Saturnus,Ljubljana,,KK Žalec - Kmetijski kombinat ,"76/02, 69/29, 71/08, 81/01"
D,,1,1969,IBM,IBM 360/30,,e,o,L,ŽTP - Železniško transportno podjetje,Ljubljana,,RZS Ljubljana - Regionalna zdravstvena skupnost,"69/29, 70/26, 71/08, 77/07"
D,,1,1969,IBM,IBM 360/20,,e,o,L,Mura,Murska Sobota,,,"69/25, 70/13, 71/08, 72/23, PKZ/03, RII/01"
D,,1,1969,IBM,IBM 360/20,,e,o,L,Peko,Tržič,,,"69/06, 71/08, 71/24, 73/13, RII/01"
D,,1,1969,IBM,IBM 360/20,,e,o,L,AERO,Celje,,,"68/08, 70/01, 70/27, 70/42,71/08, 71/19, 72/13, 77/53"
D,,1,1969,IBM,IBM 360/25,,e,o,L,Meblo,Nova Gorica,,"Skupščina občine Nova Gorica, Salonit, Vozila Gorica","69/26, 69/27, 70/12, 70/14, 71/08, 71/17, 71/49"
D,,1,1969,IBM,IBM 360/50,,E,Y,L,Zvezni zavod za statistiko,Beograd,,,"69/12, IDPR/01"
D,,1,1969,IBM,IBM 1130,,me,P,S,IBT - Investicijski biro Trbovlje,Trbovlje,Rudis,,"69/10, 69/13, 69/21, 71/34"
D,2,1,1969,IBM,IBM 1130,,me,R,S,IMFM - Inštitut za matematiko fiziko in mehaniko,Ljubljana,IJS - Inštitut Jožef Stefan,,"71/56, IDPR/01, INF/03, FRI/01"
D,,1,1969,IBM,IBM 1130,,me,R,L,VTŠ - Višja tehniška šola,Maribor,,,"69/02, 76/08, IDPR/01"
C,,1,1969,PHILIPS,PHILIPS Data 8000,,me,o,L,Novoteks,Novo Mesto,,,"69/16, 69/39, RII/01, 70/04, 70/22"
C,,1,1969,PHILIPS,neznan ,(manjši nemški.. PHILIPS Data 8000?),me,o,L,SGP Gorica - Splošno gradbeno podjetje,Nova Gorica,,,"70/14, 71/31, 69/30"
D,3,1,1970,IBM,IBM 360/20,,e,o,S,LTH - Loška tovarna hladilnikov,Škofja Loka,"Gorenjska predilnica, Jelovica, Sava, Loka, Kmetijsko gospodarstvo Škofja Loka",Alpina,"RII/01, 68/04, 70/11, 71/08, 72/09, 72/39, 73/03, 77/02"
D,2,1,1970,IBM,IBM 360/25,,e,o,S,EMO - Tovarna emajlirane posode,Celje,"Železarna Štore, Kovinotehna, TKO Zreče - Tovarna kovanega orodja",Zdravstveni dom Celje,"69/15, 70/01, 70/16, 68/08, 70/17, 71/08, 71/19, 72/13, 72/48, 72/49, 72/55, 77/51, 77/53"
D,,1,1970,IBM,IBM 360/25,,e,o,L,Brest,Cerknica,,,"69/23, 71/08, 71/17"
