dejavnost,ime,spol,naziv,opis
FRI,Viljan Mahnič,,izr. prof. dr.,"učitelji, asistenti, raziskovalci 1996–"
FRI,Žiga Virk,,doc. dr.,"učitelji, asistenti, raziskovalci 2011–2015"
FRI,Zoran Bosnić,,izr. prof. dr.,"učitelji, asistenti, raziskovalci 2006–"
FRI,Zoran Levnajić,,dr.,"učitelji, asistenti, raziskovalci 2015–2016"
FRI,Zvonko Virant,,pred.,"učitelji, asistenti, raziskovalci 1996–2009"
FRI,Adviti Naik,,,"učitelji, asistenti, raziskovalci 2012–2013"
FRI,Ajda Pretnar,z,,"učitelji, asistenti, raziskovalci 2015–"
FRI,Alen Vrečko,,,"učitelji, asistenti, raziskovalci 2007–2014"
FRI,Alenka Kramžar Dolinar,z,,strokovne službe  2015–
FRI,Aleš Erjavec,,,"učitelji, asistenti, raziskovalci 2010–"
FRI,Aleš Grnjak,,,strokovne službe  2013–
FRI,Aleš Štimec,,,"učitelji, asistenti, raziskovalci 2004– 2009"
FRI,Aleš Watzak,,,strokovne službe  2014–
FRI,Aljoša Besednjak,,,strokovne službe  2014–
FRI,Ana Prosen,z,,strokovne službe  2002–2005
FRI,Andraž Kohne,,,"učitelji, asistenti, raziskovalci 2013"
FRI,Andrej Grah,,,"učitelji, asistenti, raziskovalci 2010– 2012"
FRI,Andrej Hrnčič,,,"učitelji, asistenti, raziskovalci 2011–2012"
FRI,Andrej Ikica,,,"učitelji, asistenti, raziskovalci 2013"
FRI,Andrej Koklič,,,"učitelji, asistenti, raziskovalci 1996"
FRI,Andrej Oblak,,,"učitelji, asistenti, raziskovalci 2009–2010"
FRI,Andrej Šeruga,,,strokovne službe  2014–
FRI,Andrej Tolič,,,"učitelji, asistenti, raziskovalci 2012–2013"
FRI,Anže Časar,,,"učitelji, asistenti, raziskovalci 2012"
FRI,Benjamin Kastelic,,,"učitelji, asistenti, raziskovalci 2015–"
FRI,Blaž Strle,,,"učitelji, asistenti, raziskovalci 2009–2010"
FRI,Bojan Blažica,,,"učitelji, asistenti, raziskovalci 2013"
FRI,Bojan Heric,,,strokovne službe  2005–
FRI,Borche Paspalovski,,,"učitelji, asistenti, raziskovalci 2013–2015"
FRI,Borut Ogrinc,,,"učitelji, asistenti, raziskovalci 2009–2010"
FRI,Boštjan Borič,,,"učitelji, asistenti, raziskovalci 2014–2015"
FRI,Božidar Račič,,,strokovne službe  2006–2007
FRI,Branka Koprivec,z,,strokovne službe  2007–2008
FRI,Branka Lepšina,z,,strokovne službe  1996–1996
FRI,Črtomir Gorup,,,"učitelji, asistenti, raziskovalci 2010–2013"
FRI,Damir Lalić,,,"učitelji, asistenti, raziskovalci 2011–2012"
FRI,Damjan Kužnar,,,"učitelji, asistenti, raziskovalci 2008–2010"
FRI,Dejan Ognjenović,,,"učitelji, asistenti, raziskovalci 2015"
FRI,Domen Rački,,,"učitelji, asistenti, raziskovalci 2015"
FRI,Domen Tabernik,,,"učitelji, asistenti, raziskovalci 2010–"
FRI,Dragana Piltz,z,,strokovne službe  2007–2008
FRI,Dragica Furlan,z,,strokovne službe  1997–2010
FRI,Dušan Omerčević,,,"učitelji, asistenti, raziskovalci 2005–2008"
FRI,Elis Purkov,,,"učitelji, asistenti, raziskovalci 2015"
FRI,Eva Zupančič,z,,"učitelji, asistenti, raziskovalci 2009–2014"
FRI,Filip Kralj,,,"učitelji, asistenti, raziskovalci 2015"
FRI,Gregor Berginc,,,"učitelji, asistenti, raziskovalci 2004–2007"
FRI,Gregor Beslič,,,"učitelji, asistenti, raziskovalci 2011–2012"
FRI,Gregor Rot,,,"učitelji, asistenti, raziskovalci 2008– 2013"
FRI,Helena Marija Zupan,z,,strokovne službe  1996–
FRI,Hermina Žveglič,z,,strokovne službe  2001–2002
FRI,Irena Božič Obrstar,z,,strokovne službe  2003–2004
FRI,Irena Paternu,z,,"učitelji, asistenti, raziskovalci 1998–2003"
FRI,Irena Pestotnik,z,,strokovne službe  2008–
FRI,Ivan Gabrijel,,,"učitelji, asistenti, raziskovalci 1996–2000"
FRI,Ivan Malešič,,,strokovne službe  2008–2009
FRI,Ivan Župić,,,"učitelji, asistenti, raziskovalci 2016–"
FRI,Jan Robas,,,"učitelji, asistenti, raziskovalci 2012–2013"
